yr,Mon,Day,Hr,Min,Sec,Lat,Lon,Height,Energyclass,M
2015,1,22,15,52,27.9,42.2,75.02,20,11.9,4.4
2015,3,15,14,1,0.1,42.95,76.93,20,11.8,3.6
2015,6,19,0,54,41.1,44.75,78.78,10,10.4,2.8
2015,7,7,7,13,3,43.28,77.72,10,9.6,3.4
2015,9,1,7,32,28.3,44.38,76.13,20,9.8,2.4
2015,11,16,17,19,7.5,43.95,80.58,10,9.7,3.4
2016,2,29,18,37,11.6,43.03,80.4,25,11.3,4.5
2016,4,29,13,14,18.7,43.03,78.33,15,8.8,2.8
2016,7,12,7,2,12.3,43.02,77.43,10,10.6,4
2016,12,18,5,54,53,43.23,75.22,5,11.2,4.4
2017,3,27,15,52,41.7,43.15,79.92,20,8.5,2.6
2017,4,28,5,1,24.3,41.9,76.83,15,12.3,4.5
2017,6,3,17,57,55,43.28,76.93,5,6.5,1.2
2017,6,25,2,50,20.5,43.87,77.07,20,10.1,3.7
2017,7,5,20,3,31,42.73,76.38,15,11,4.3
2017,11,2,5,21,28.2,43.38,80.15,10,9.7,3.4
2017,11,12,4,45,33.9,44.23,76.73,15,9,2.9
2017,11,16,1,42,57.3,42,77.43,10,12.3,4.5
2018,1,10,3,27,17.3,43.2,77.27,10,9.3,3.1
2018,1,29,14,36,33.1,43.22,77.57,15,10.2,3.8
2018,2,2,9,20,44.3,43.22,76.92,10,8.9,2.9
2018,2,15,17,38,12.5,43.23,76.9,4,7.4,1.9
2018,3,26,12,53,49.7,43.7,77.32,15,12,4.3
2018,4,8,16,12,57.5,43,78.32,10,10.2,3.8
2018,4,13,7,23,53.4,44.45,78.48,10,10.8,4.2
2018,6,4,2,17,56.4,43.15,79.18,20,9.8,3.5
2018,7,17,17,14,27.1,44.68,78.77,10,9.6,3.4
2018,7,26,17,32,48.3,43.88,77.92,25,11.6,4.1
2018,8,9,8,44,43.7,44.32,78.75,15,9,2.9
2018,8,31,12,21,27.6,43.02,77.48,20,11.6,4.1
2018,9,14,22,15,3.1,41.88,77.18,15,11.9,4.3
2019,8,17,23,7,46.6,44.1,79.73,20,11.7,5.1
2019,8,18,3,12,59.6,43.87,76.9,30,9.8,4.4
2019,9,2,9,6,17.2,43.12,76.9,20,8.8,4
2019,9,7,0,30,15.3,43.2,76.78,20,9.1,3.9
2019,10,8,21,49,21.1,43.02,78.55,10,11.6,5.3
2020,1,20,5,31,4,44.77,78.8,20,11.3,4.7
2020,2,15,3,31,53,41.88,79.22,5,11.3,5.6
2020,3,20,0,49,0,41.99,77.19,15,10.9,5.1
2020,4,24,21,56,34,42.11,76.33,15,11.5,4.5
2020,5,9,15,36,54,40.92,78.63,5,12.8,4.9
2020,7,25,7,32,17,43.11,78.41,5,9.1,3.2
2020,9,19,19,14,17,44.9,78.38,10,7.7,3.2
2020,11,6,14,29,27,43.13,79.69,20,11.4,4.3
